li	TEDL15_0	Dzhokhar Tsarnaev	SPA_NW_001113_20141223_F00000048:233-249	NIL0	PER	NAM	1.0
li	TEDL15_1	Boston	SPA_NW_001113_20141223_F00000048:290-295	m.01cx_	GPE	NAM	1.0
li	TEDL15_2	Dzhokhar Tsarnaev	SPA_NW_001113_20141223_F00000048:406-422	NIL0	PER	NAM	1.0
li	TEDL15_3	Boston	SPA_NW_001113_20141223_F00000048:473-478	m.01cx_	GPE	NAM	1.0
li	TEDL15_4	Tsarnaev	SPA_NW_001113_20141223_F00000048:666-673	NIL1	PER	NAM	1.0
li	TEDL15_5	Tsarnaev	SPA_NW_001113_20141223_F00000048:836-843	NIL1	PER	NAM	1.0
li	TEDL15_6	Boston	SPA_NW_001113_20141223_F00000048:989-994	m.01cx_	GPE	NAM	1.0
li	TEDL15_7	George O'Toole	SPA_NW_001113_20141223_F00000048:1710-1723	NIL2	PER	NAM	1.0
li	TEDL15_8	Tsarnaev	SPA_NW_001113_20141223_F00000048:1819-1826	NIL1	PER	NAM	1.0
li	TEDL15_9	Tamerlan	SPA_NW_001113_20141223_F00000048:2075-2082	m.01fqr4	PER	NAM	1.0
li	TEDL15_10	Estados Unidos	SPA_NW_001113_20141223_F00000048:2190-2203	m.09c7w0	GPE	NAM	1.0
li	TEDL15_11	Al	SPA_NW_001113_20141223_F00000048:2251-2252	NIL3	ORG	NAM	1.0
li	TEDL15_12	Tsarnaev	SPA_NW_001113_20141223_F00000048:2270-2277	NIL1	PER	NAM	1.0
li	TEDL15_13	Estados Unidos	SPA_NW_001113_20141223_F00000048:2303-2316	m.09c7w0	ORG	NAM	1.0
li	TEDL15_14	Tsarnaev	SPA_NW_001113_20141223_F00000048:2391-2398	NIL1	PER	NAM	1.0
li	TEDL15_15	Cuba	SPA_NW_001115_20150121_F0000004A:230-233	m.0d04z6	ORG	NAM	1.0
li	TEDL15_16	Estados Unidos	SPA_NW_001115_20150121_F0000004A:301-314	m.09c7w0	ORG	NAM	1.0
li	TEDL15_17	Cuba	SPA_NW_001115_20150121_F0000004A:318-321	m.0d04z6	GPE	NAM	1.0
li	TEDL15_18	Habana	SPA_NW_001115_20150121_F0000004A:395-400	m.0d6hn	GPE	NAM	1.0
li	TEDL15_19	Cuba	SPA_NW_001115_20150121_F0000004A:587-590	m.0d04z6	ORG	NAM	1.0
li	TEDL15_20	Estados Unidos	SPA_NW_001115_20150121_F0000004A:647-660	m.09c7w0	ORG	NAM	1.0
li	TEDL15_21	Cuba	SPA_NW_001115_20150121_F0000004A:1241-1244	m.0d04z6	ORG	NAM	1.0
li	TEDL15_22	Departamento	SPA_NW_001115_20150121_F0000004A:1364-1375	m.042lwf	ORG	NAM	1.0
li	TEDL15_23	Estado	SPA_NW_001115_20150121_F0000004A:1662-1667	NIL4	ORG	NAM	1.0
li	TEDL15_24	Hemisferio Occidental	SPA_NW_001115_20150121_F0000004A:1685-1705	m.0jntd	GPE	NAM	1.0
li	TEDL15_25	Roberta Jacobson	SPA_NW_001115_20150121_F0000004A:1708-1723	NIL5	PER	NAM	1.0
li	TEDL15_26	Estados Unidos	SPA_NW_001115_20150121_F0000004A:1754-1767	m.09c7w0	ORG	NAM	1.0
li	TEDL15_27	Josefina Vidal	SPA_NW_001115_20150121_F0000004A:1795-1808	NIL6	PER	NAM	1.0
li	TEDL15_28	Jacobson	SPA_NW_001115_20150121_F0000004A:1822-1829	m.02wcx8c	PER	NAM	1.0
li	TEDL15_29	Edward Alex Lee	SPA_NW_001115_20150121_F0000004A:1843-1857	NIL7	PER	NAM	1.0
li	TEDL15_30	Departamento	SPA_NW_001115_20150121_F0000004A:1940-1951	m.042lwf	ORG	NAM	1.0
li	TEDL15_31	Barack Obama	SPA_NW_001115_20150121_F0000004A:2054-2065	m.02mjmr	PER	NAM	1.0
li	TEDL15_32	Raúl Castro	SPA_NW_001115_20150121_F0000004A:2076-2086	m.01gcjq	PER	NAM	1.0
li	TEDL15_33	Congreso	SPA_NW_001115_20150121_F0000004A:2292-2299	m.04q8j07	ORG	NAM	1.0
